date,provincia_destino_name,day_of_week,month,year,viajes
2022-09-12,"Palmas, Las",Monday,9,2022,18430
2022-09-12,Santa Cruz de Tenerife,Monday,9,2022,15731
2022-09-13,"Balears, Illes",Tuesday,9,2022,20641
2022-09-13,"Palmas, Las",Tuesday,9,2022,14743
2022-09-13,Santa Cruz de Tenerife,Tuesday,9,2022,14008
2022-09-14,"Balears, Illes",Wednesday,9,2022,20016
2022-09-14,"Palmas, Las",Wednesday,9,2022,16490
2022-09-14,Santa Cruz de Tenerife,Wednesday,9,2022,14268
2022-09-15,"Balears, Illes",Thursday,9,2022,23267
2022-09-15,"Palmas, Las",Thursday,9,2022,16648
2022-09-15,Santa Cruz de Tenerife,Thursday,9,2022,15457
2022-09-16,"Balears, Illes",Friday,9,2022,27108
2022-09-16,"Palmas, Las",Friday,9,2022,18007
2022-09-16,Santa Cruz de Tenerife,Friday,9,2022,16871
2022-09-17,"Balears, Illes",Saturday,9,2022,21077
2022-09-17,"Palmas, Las",Saturday,9,2022,16728
2022-09-17,Santa Cruz de Tenerife,Saturday,9,2022,15400
2022-09-18,"Balears, Illes",Sunday,9,2022,21847
2022-09-18,"Palmas, Las",Sunday,9,2022,21147
2022-09-18,Santa Cruz de Tenerife,Sunday,9,2022,18450
2022-09-19,"Balears, Illes",Monday,9,2022,24578
2022-09-19,"Palmas, Las",Monday,9,2022,18388
2022-09-19,Santa Cruz de Tenerife,Monday,9,2022,15863
2022-09-20,"Balears, Illes",Tuesday,9,2022,20956
2022-09-20,"Palmas, Las",Tuesday,9,2022,16018
2022-09-20,Santa Cruz de Tenerife,Tuesday,9,2022,14112
2022-09-21,"Balears, Illes",Wednesday,9,2022,20092
2022-09-21,"Palmas, Las",Wednesday,9,2022,15214
2022-09-21,Santa Cruz de Tenerife,Wednesday,9,2022,13637
2022-09-22,"Balears, Illes",Thursday,9,2022,20440
2022-09-22,"Palmas, Las",Thursday,9,2022,15824
2022-09-22,Santa Cruz de Tenerife,Thursday,9,2022,14310
2022-09-23,"Balears, Illes",Friday,9,2022,22701
2022-09-23,"Palmas, Las",Friday,9,2022,15475
2022-09-23,Santa Cruz de Tenerife,Friday,9,2022,14635
2022-09-24,"Balears, Illes",Saturday,9,2022,17678
2022-09-24,"Palmas, Las",Saturday,9,2022,15416
2022-09-24,Santa Cruz de Tenerife,Saturday,9,2022,12727
2022-09-25,"Balears, Illes",Sunday,9,2022,19562
2022-09-25,"Palmas, Las",Sunday,9,2022,12047
2022-09-25,Santa Cruz de Tenerife,Sunday,9,2022,7705
2022-09-26,"Balears, Illes",Monday,9,2022,22215
2022-09-26,"Palmas, Las",Monday,9,2022,16137
2022-09-26,Santa Cruz de Tenerife,Monday,9,2022,13131
2022-09-27,"Balears, Illes",Tuesday,9,2022,20040
2022-09-27,"Palmas, Las",Tuesday,9,2022,17162
2022-09-27,Santa Cruz de Tenerife,Tuesday,9,2022,16036
2022-09-28,"Balears, Illes",Wednesday,9,2022,18353
2022-09-28,"Palmas, Las",Wednesday,9,2022,15263
2022-09-28,Santa Cruz de Tenerife,Wednesday,9,2022,13985
2022-09-29,"Balears, Illes",Thursday,9,2022,18845
2022-09-29,"Palmas, Las",Thursday,9,2022,15891
2022-09-29,Santa Cruz de Tenerife,Thursday,9,2022,14109
2022-09-30,"Balears, Illes",Friday,9,2022,25108
2022-09-30,"Palmas, Las",Friday,9,2022,17955
2022-09-30,Santa Cruz de Tenerife,Friday,9,2022,17983
2022-10-01,"Balears, Illes",Saturday,10,2022,19817
2022-10-01,"Palmas, Las",Saturday,10,2022,18272
2022-10-01,Santa Cruz de Tenerife,Saturday,10,2022,16191
2022-10-02,"Balears, Illes",Sunday,10,2022,21623
2022-10-02,"Palmas, Las",Sunday,10,2022,19754
2022-10-02,Santa Cruz de Tenerife,Sunday,10,2022,16498
2022-10-03,"Balears, Illes",Monday,10,2022,23111
2022-10-03,"Palmas, Las",Monday,10,2022,17935
2022-10-03,Santa Cruz de Tenerife,Monday,10,2022,16361
2022-10-04,"Balears, Illes",Tuesday,10,2022,17704
2022-10-04,"Palmas, Las",Tuesday,10,2022,15876
2022-10-04,Santa Cruz de Tenerife,Tuesday,10,2022,14763
2022-10-05,"Balears, Illes",Wednesday,10,2022,17375
2022-10-05,"Palmas, Las",Wednesday,10,2022,15875
2022-10-05,Santa Cruz de Tenerife,Wednesday,10,2022,14216
2022-10-06,"Balears, Illes",Thursday,10,2022,20416
2022-10-06,"Palmas, Las",Thursday,10,2022,17049
2022-10-06,Santa Cruz de Tenerife,Thursday,10,2022,15709
2022-10-07,"Balears, Illes",Friday,10,2022,24290
2022-10-07,"Palmas, Las",Friday,10,2022,19356
2022-10-07,Santa Cruz de Tenerife,Friday,10,2022,17373
2022-10-08,"Balears, Illes",Saturday,10,2022,19298
2022-10-08,"Palmas, Las",Saturday,10,2022,18668
2022-10-08,Santa Cruz de Tenerife,Saturday,10,2022,16115
2022-10-09,"Balears, Illes",Sunday,10,2022,20471
2022-10-09,"Palmas, Las",Sunday,10,2022,20901
2022-10-09,Santa Cruz de Tenerife,Sunday,10,2022,18037
2022-10-10,"Balears, Illes",Monday,10,2022,20881
2022-10-10,"Palmas, Las",Monday,10,2022,17780
2022-10-10,Santa Cruz de Tenerife,Monday,10,2022,15724
2022-10-11,"Balears, Illes",Tuesday,10,2022,17072
2022-10-11,"Palmas, Las",Tuesday,10,2022,16523
2022-10-11,Santa Cruz de Tenerife,Tuesday,10,2022,14902
2022-10-12,"Balears, Illes",Wednesday,10,2022,17688
2022-10-12,"Palmas, Las",Wednesday,10,2022,16514
2022-10-12,Santa Cruz de Tenerife,Wednesday,10,2022,15043
2022-10-13,"Balears, Illes",Thursday,10,2022,20705
2022-10-13,"Palmas, Las",Thursday,10,2022,17802
2022-10-13,Santa Cruz de Tenerife,Thursday,10,2022,16507
2022-10-14,"Balears, Illes",Friday,10,2022,23571
2022-10-14,"Palmas, Las",Friday,10,2022,20867
2022-10-14,Santa Cruz de Tenerife,Friday,10,2022,17009
2022-10-15,"Balears, Illes",Saturday,10,2022,18667
2022-10-15,"Palmas, Las",Saturday,10,2022,17674
2022-10-15,Santa Cruz de Tenerife,Saturday,10,2022,16463
2022-10-16,"Balears, Illes",Sunday,10,2022,21786
2022-10-16,"Palmas, Las",Sunday,10,2022,25080
2022-10-16,Santa Cruz de Tenerife,Sunday,10,2022,20356
2022-10-17,"Balears, Illes",Monday,10,2022,21299
2022-10-17,"Palmas, Las",Monday,10,2022,17639
2022-10-17,Santa Cruz de Tenerife,Monday,10,2022,15529
2022-10-18,"Balears, Illes",Tuesday,10,2022,16314
2022-10-18,"Palmas, Las",Tuesday,10,2022,15473
2022-10-18,Santa Cruz de Tenerife,Tuesday,10,2022,14017
2022-10-19,"Balears, Illes",Wednesday,10,2022,16529
2022-10-19,"Palmas, Las",Wednesday,10,2022,20317
2022-10-19,Santa Cruz de Tenerife,Wednesday,10,2022,17945
2022-10-20,"Balears, Illes",Thursday,10,2022,19975
2022-10-20,"Palmas, Las",Thursday,10,2022,20843
2022-10-20,Santa Cruz de Tenerife,Thursday,10,2022,19295
2022-10-21,"Balears, Illes",Friday,10,2022,24277
2022-10-21,"Palmas, Las",Friday,10,2022,20907
2022-10-21,Santa Cruz de Tenerife,Friday,10,2022,20435
2022-10-22,"Balears, Illes",Saturday,10,2022,19155
2022-10-22,"Palmas, Las",Saturday,10,2022,27830
2022-10-22,Santa Cruz de Tenerife,Saturday,10,2022,25347
2022-10-23,"Balears, Illes",Sunday,10,2022,19727
2022-10-23,"Palmas, Las",Sunday,10,2022,30723
2022-10-23,Santa Cruz de Tenerife,Sunday,10,2022,26198
2022-10-24,"Balears, Illes",Monday,10,2022,21759
2022-10-24,"Palmas, Las",Monday,10,2022,23855
2022-10-24,Santa Cruz de Tenerife,Monday,10,2022,22369
2022-10-25,"Balears, Illes",Tuesday,10,2022,16597
2022-10-25,"Palmas, Las",Tuesday,10,2022,18390
2022-10-25,Santa Cruz de Tenerife,Tuesday,10,2022,18014
2022-10-26,"Balears, Illes",Wednesday,10,2022,16011
2022-10-26,"Palmas, Las",Wednesday,10,2022,20850
2022-10-26,Santa Cruz de Tenerife,Wednesday,10,2022,17361
2022-10-27,"Balears, Illes",Thursday,10,2022,19466
2022-10-27,"Palmas, Las",Thursday,10,2022,23128
2022-10-27,Santa Cruz de Tenerife,Thursday,10,2022,20416
2022-10-28,"Balears, Illes",Friday,10,2022,23512
2022-10-28,"Palmas, Las",Friday,10,2022,25932
2022-10-28,Santa Cruz de Tenerife,Friday,10,2022,23927
2022-10-29,"Balears, Illes",Saturday,10,2022,18901
2022-10-29,"Palmas, Las",Saturday,10,2022,40594
2022-10-29,Santa Cruz de Tenerife,Saturday,10,2022,33673
2022-10-30,"Balears, Illes",Sunday,10,2022,16091
2022-10-30,"Palmas, Las",Sunday,10,2022,41088
2022-10-30,Santa Cruz de Tenerife,Sunday,10,2022,37639
2022-10-31,"Balears, Illes",Monday,10,2022,17941
2022-10-31,"Palmas, Las",Monday,10,2022,30197
2022-10-31,Santa Cruz de Tenerife,Monday,10,2022,27881
2022-11-01,"Balears, Illes",Tuesday,11,2022,18057
2022-11-01,"Palmas, Las",Tuesday,11,2022,25601
2022-11-01,Santa Cruz de Tenerife,Tuesday,11,2022,23428
2022-11-02,"Balears, Illes",Wednesday,11,2022,16553
2022-11-02,"Palmas, Las",Wednesday,11,2022,24072
2022-11-02,Santa Cruz de Tenerife,Wednesday,11,2022,21949
2022-11-03,"Balears, Illes",Thursday,11,2022,14419
2022-11-03,"Palmas, Las",Thursday,11,2022,21698
2022-11-03,Santa Cruz de Tenerife,Thursday,11,2022,18376
2022-11-04,"Balears, Illes",Friday,11,2022,17515
2022-11-04,"Palmas, Las",Friday,11,2022,19915
2022-11-04,Santa Cruz de Tenerife,Friday,11,2022,19288
2022-11-05,"Balears, Illes",Saturday,11,2022,14441
2022-11-05,"Palmas, Las",Saturday,11,2022,28489
2022-11-05,Santa Cruz de Tenerife,Saturday,11,2022,24639
2022-11-06,"Balears, Illes",Sunday,11,2022,17161
2022-11-06,"Palmas, Las",Sunday,11,2022,33656
2022-11-06,Santa Cruz de Tenerife,Sunday,11,2022,29482
2022-11-07,"Balears, Illes",Monday,11,2022,17169
2022-11-07,"Palmas, Las",Monday,11,2022,20675
2022-11-07,Santa Cruz de Tenerife,Monday,11,2022,17926
2022-11-08,"Balears, Illes",Tuesday,11,2022,15010
2022-11-08,"Palmas, Las",Tuesday,11,2022,15021
2022-11-08,Santa Cruz de Tenerife,Tuesday,11,2022,14459
2022-11-09,"Balears, Illes",Wednesday,11,2022,14632
2022-11-09,"Palmas, Las",Wednesday,11,2022,15524
2022-11-09,Santa Cruz de Tenerife,Wednesday,11,2022,13845
2022-11-10,"Balears, Illes",Thursday,11,2022,14867
2022-11-10,"Palmas, Las",Thursday,11,2022,17091
2022-11-10,Santa Cruz de Tenerife,Thursday,11,2022,13912
2022-11-11,"Balears, Illes",Friday,11,2022,17375
2022-11-11,"Palmas, Las",Friday,11,2022,18408
2022-11-11,Santa Cruz de Tenerife,Friday,11,2022,17677
2022-11-12,"Balears, Illes",Saturday,11,2022,15700
2022-11-12,"Palmas, Las",Saturday,11,2022,14285
2022-11-12,Santa Cruz de Tenerife,Saturday,11,2022,13305
2022-11-13,"Balears, Illes",Sunday,11,2022,17510
2022-11-13,"Palmas, Las",Sunday,11,2022,17606
2022-11-13,Santa Cruz de Tenerife,Sunday,11,2022,16843
2022-11-14,"Balears, Illes",Monday,11,2022,17954
2022-11-14,"Palmas, Las",Monday,11,2022,18653
2022-11-14,Santa Cruz de Tenerife,Monday,11,2022,16816
2022-11-15,"Balears, Illes",Tuesday,11,2022,15964
2022-11-15,"Palmas, Las",Tuesday,11,2022,14281
2022-11-15,Santa Cruz de Tenerife,Tuesday,11,2022,15093
2022-11-16,"Balears, Illes",Wednesday,11,2022,14462
2022-11-16,"Palmas, Las",Wednesday,11,2022,14875
2022-11-16,Santa Cruz de Tenerife,Wednesday,11,2022,13725
2022-11-17,"Balears, Illes",Thursday,11,2022,14954
2022-11-17,"Palmas, Las",Thursday,11,2022,17439
2022-11-17,Santa Cruz de Tenerife,Thursday,11,2022,13895
2022-11-18,"Balears, Illes",Friday,11,2022,17230
2022-11-18,"Palmas, Las",Friday,11,2022,21763
2022-11-18,Santa Cruz de Tenerife,Friday,11,2022,16661
2022-11-19,"Balears, Illes",Saturday,11,2022,15031
2022-11-19,"Palmas, Las",Saturday,11,2022,15655
2022-11-19,Santa Cruz de Tenerife,Saturday,11,2022,14961
2022-11-20,"Balears, Illes",Sunday,11,2022,19078
2022-11-20,"Palmas, Las",Sunday,11,2022,16671
2022-11-20,Santa Cruz de Tenerife,Sunday,11,2022,15617
2022-11-21,"Balears, Illes",Monday,11,2022,17534
2022-11-21,"Palmas, Las",Monday,11,2022,17919
2022-11-21,Santa Cruz de Tenerife,Monday,11,2022,16203
2022-11-22,"Balears, Illes",Tuesday,11,2022,15415
2022-11-22,"Palmas, Las",Tuesday,11,2022,13343
2022-11-22,Santa Cruz de Tenerife,Tuesday,11,2022,14184
2022-11-23,"Balears, Illes",Wednesday,11,2022,14447
2022-11-23,"Palmas, Las",Wednesday,11,2022,13631
2022-11-23,Santa Cruz de Tenerife,Wednesday,11,2022,15550
2022-11-24,"Balears, Illes",Thursday,11,2022,14307
2022-11-24,"Palmas, Las",Thursday,11,2022,16689
2022-11-24,Santa Cruz de Tenerife,Thursday,11,2022,13876
2022-11-25,"Balears, Illes",Friday,11,2022,16462
2022-11-25,"Palmas, Las",Friday,11,2022,19918
2022-11-25,Santa Cruz de Tenerife,Friday,11,2022,17752
2022-11-26,"Balears, Illes",Saturday,11,2022,13582
2022-11-26,"Palmas, Las",Saturday,11,2022,16052
2022-11-26,Santa Cruz de Tenerife,Saturday,11,2022,14244
2022-11-27,"Balears, Illes",Sunday,11,2022,17638
2022-11-27,"Palmas, Las",Sunday,11,2022,17840
2022-11-27,Santa Cruz de Tenerife,Sunday,11,2022,16010
2022-11-28,"Balears, Illes",Monday,11,2022,16613
2022-11-28,"Palmas, Las",Monday,11,2022,16324
2022-11-28,Santa Cruz de Tenerife,Monday,11,2022,14783
2022-11-29,"Balears, Illes",Tuesday,11,2022,16278
2022-11-29,"Palmas, Las",Tuesday,11,2022,14181
2022-11-29,Santa Cruz de Tenerife,Tuesday,11,2022,14669
2022-11-30,"Balears, Illes",Wednesday,11,2022,15397
2022-11-30,"Palmas, Las",Wednesday,11,2022,14188
2022-11-30,Santa Cruz de Tenerife,Wednesday,11,2022,13706
2022-12-01,"Balears, Illes",Thursday,12,2022,14993
2022-12-01,"Palmas, Las",Thursday,12,2022,18288
2022-12-01,Santa Cruz de Tenerife,Thursday,12,2022,14269
2022-12-02,"Balears, Illes",Friday,12,2022,17656
2022-12-02,"Palmas, Las",Friday,12,2022,19857
2022-12-02,Santa Cruz de Tenerife,Friday,12,2022,19352
2022-12-03,"Balears, Illes",Saturday,12,2022,16642
2022-12-03,"Palmas, Las",Saturday,12,2022,19263
2022-12-03,Santa Cruz de Tenerife,Saturday,12,2022,16744
2022-12-04,"Balears, Illes",Sunday,12,2022,15958
2022-12-04,"Palmas, Las",Sunday,12,2022,17442
2022-12-04,Santa Cruz de Tenerife,Sunday,12,2022,14860
2022-12-05,"Balears, Illes",Monday,12,2022,15905
2022-12-05,"Palmas, Las",Monday,12,2022,35331
2022-12-05,Santa Cruz de Tenerife,Monday,12,2022,31799
2022-12-06,"Balears, Illes",Tuesday,12,2022,14868
2022-12-06,"Palmas, Las",Tuesday,12,2022,17513
2022-12-06,Santa Cruz de Tenerife,Tuesday,12,2022,17547
2022-12-07,"Balears, Illes",Wednesday,12,2022,15967
2022-12-07,"Palmas, Las",Wednesday,12,2022,27849
2022-12-07,Santa Cruz de Tenerife,Wednesday,12,2022,25458
2022-12-08,"Balears, Illes",Thursday,12,2022,15084
2022-12-08,"Palmas, Las",Thursday,12,2022,18959
2022-12-08,Santa Cruz de Tenerife,Thursday,12,2022,15581
2022-12-09,"Balears, Illes",Friday,12,2022,15232
2022-12-09,"Palmas, Las",Friday,12,2022,18241
2022-12-09,Santa Cruz de Tenerife,Friday,12,2022,14999
2022-12-10,"Balears, Illes",Saturday,12,2022,14993
2022-12-10,"Palmas, Las",Saturday,12,2022,17456
2022-12-10,Santa Cruz de Tenerife,Saturday,12,2022,16092
2022-12-11,"Balears, Illes",Sunday,12,2022,18485
2022-12-11,"Palmas, Las",Sunday,12,2022,19872
2022-12-11,Santa Cruz de Tenerife,Sunday,12,2022,17405
2022-12-12,"Balears, Illes",Monday,12,2022,17135
2022-12-12,"Palmas, Las",Monday,12,2022,17715
2022-12-12,Santa Cruz de Tenerife,Monday,12,2022,15520
2022-12-13,"Balears, Illes",Tuesday,12,2022,15014
2022-12-13,"Palmas, Las",Tuesday,12,2022,14681
2022-12-13,Santa Cruz de Tenerife,Tuesday,12,2022,14724
2022-12-14,"Balears, Illes",Wednesday,12,2022,12745
2022-12-14,"Palmas, Las",Wednesday,12,2022,14619
2022-12-14,Santa Cruz de Tenerife,Wednesday,12,2022,13786
2022-12-15,"Balears, Illes",Thursday,12,2022,13825
2022-12-15,"Palmas, Las",Thursday,12,2022,17219
2022-12-15,Santa Cruz de Tenerife,Thursday,12,2022,14210
2022-12-16,"Balears, Illes",Friday,12,2022,15215
2022-12-16,"Palmas, Las",Friday,12,2022,17103
2022-12-16,Santa Cruz de Tenerife,Friday,12,2022,16730
2022-12-17,"Balears, Illes",Saturday,12,2022,13216
2022-12-17,"Palmas, Las",Saturday,12,2022,17980
2022-12-17,Santa Cruz de Tenerife,Saturday,12,2022,16362
2022-12-18,"Balears, Illes",Sunday,12,2022,16074
2022-12-18,"Palmas, Las",Sunday,12,2022,16982
2022-12-18,Santa Cruz de Tenerife,Sunday,12,2022,15055
2022-12-19,"Balears, Illes",Monday,12,2022,15684
2022-12-19,"Palmas, Las",Monday,12,2022,16545
2022-12-19,Santa Cruz de Tenerife,Monday,12,2022,16101
2022-12-20,"Balears, Illes",Tuesday,12,2022,14443
2022-12-20,"Palmas, Las",Tuesday,12,2022,15800
2022-12-20,Santa Cruz de Tenerife,Tuesday,12,2022,15205
2022-12-21,"Balears, Illes",Wednesday,12,2022,14644
2022-12-21,"Palmas, Las",Wednesday,12,2022,17147
2022-12-21,Santa Cruz de Tenerife,Wednesday,12,2022,14716
2022-12-22,"Balears, Illes",Thursday,12,2022,17286
2022-12-22,"Palmas, Las",Thursday,12,2022,19951
2022-12-22,Santa Cruz de Tenerife,Thursday,12,2022,16525
2022-12-23,"Balears, Illes",Friday,12,2022,18841
2022-12-23,"Palmas, Las",Friday,12,2022,25078
2022-12-23,Santa Cruz de Tenerife,Friday,12,2022,18870
2022-12-24,"Balears, Illes",Saturday,12,2022,13340
2022-12-24,"Palmas, Las",Saturday,12,2022,16578
2022-12-24,Santa Cruz de Tenerife,Saturday,12,2022,14987
2022-12-25,"Balears, Illes",Sunday,12,2022,10069
2022-12-25,"Palmas, Las",Sunday,12,2022,12116
2022-12-25,Santa Cruz de Tenerife,Sunday,12,2022,11498
2022-12-26,"Balears, Illes",Monday,12,2022,17006
2022-12-26,"Palmas, Las",Monday,12,2022,18694
2022-12-26,Santa Cruz de Tenerife,Monday,12,2022,15662
2022-12-27,"Balears, Illes",Tuesday,12,2022,19657
2022-12-27,"Palmas, Las",Tuesday,12,2022,17548
2022-12-27,Santa Cruz de Tenerife,Tuesday,12,2022,15989
2022-12-28,"Balears, Illes",Wednesday,12,2022,17140
2022-12-28,"Palmas, Las",Wednesday,12,2022,17187
2022-12-28,Santa Cruz de Tenerife,Wednesday,12,2022,16235
2022-12-29,"Balears, Illes",Thursday,12,2022,18268
2022-12-29,"Palmas, Las",Thursday,12,2022,24407
2022-12-29,Santa Cruz de Tenerife,Thursday,12,2022,16129
2022-12-30,"Balears, Illes",Friday,12,2022,20991
2022-12-30,"Palmas, Las",Friday,12,2022,19696
2022-12-30,Santa Cruz de Tenerife,Friday,12,2022,16769
2022-12-31,"Balears, Illes",Saturday,12,2022,14313
2022-12-31,"Palmas, Las",Saturday,12,2022,18010
2022-12-31,Santa Cruz de Tenerife,Saturday,12,2022,13029
2023-01-01,"Balears, Illes",Sunday,1,2023,14262
2023-01-01,"Palmas, Las",Sunday,1,2023,14483
2023-01-01,Santa Cruz de Tenerife,Sunday,1,2023,12368
2023-01-02,"Balears, Illes",Monday,1,2023,19497
2023-01-02,"Palmas, Las",Monday,1,2023,18577
2023-01-02,Santa Cruz de Tenerife,Monday,1,2023,17133
2023-01-03,"Balears, Illes",Tuesday,1,2023,19379
2023-01-03,"Palmas, Las",Tuesday,1,2023,18473
2023-01-03,Santa Cruz de Tenerife,Tuesday,1,2023,17639
2023-01-04,"Balears, Illes",Wednesday,1,2023,17099
2023-01-04,"Palmas, Las",Wednesday,1,2023,14628
2023-01-04,Santa Cruz de Tenerife,Wednesday,1,2023,14158
2023-01-05,"Balears, Illes",Thursday,1,2023,15358
2023-01-05,"Palmas, Las",Thursday,1,2023,15786
2023-01-05,Santa Cruz de Tenerife,Thursday,1,2023,12624
2023-01-06,"Balears, Illes",Friday,1,2023,14138
2023-01-06,"Palmas, Las",Friday,1,2023,13045
2023-01-06,Santa Cruz de Tenerife,Friday,1,2023,11240
2023-01-07,"Balears, Illes",Saturday,1,2023,18756
2023-01-07,"Palmas, Las",Saturday,1,2023,16947
2023-01-07,Santa Cruz de Tenerife,Saturday,1,2023,14457
2023-01-08,"Balears, Illes",Sunday,1,2023,18075
2023-01-08,"Palmas, Las",Sunday,1,2023,16367
2023-01-08,Santa Cruz de Tenerife,Sunday,1,2023,15249
2023-01-09,"Balears, Illes",Monday,1,2023,16763
2023-01-09,"Palmas, Las",Monday,1,2023,15889
2023-01-09,Santa Cruz de Tenerife,Monday,1,2023,14031
2023-01-10,"Balears, Illes",Tuesday,1,2023,14096
2023-01-10,"Palmas, Las",Tuesday,1,2023,12421
2023-01-10,Santa Cruz de Tenerife,Tuesday,1,2023,14245
2023-01-11,"Balears, Illes",Wednesday,1,2023,12551
2023-01-11,"Palmas, Las",Wednesday,1,2023,13086
2023-01-11,Santa Cruz de Tenerife,Wednesday,1,2023,11717
2023-01-12,"Balears, Illes",Thursday,1,2023,10647
2023-01-12,"Palmas, Las",Thursday,1,2023,13742
2023-01-12,Santa Cruz de Tenerife,Thursday,1,2023,10809
2023-01-13,"Balears, Illes",Friday,1,2023,11866
2023-01-13,"Palmas, Las",Friday,1,2023,13124
2023-01-13,Santa Cruz de Tenerife,Friday,1,2023,12519
2023-01-14,"Balears, Illes",Saturday,1,2023,10247
2023-01-14,"Palmas, Las",Saturday,1,2023,13127
2023-01-14,Santa Cruz de Tenerife,Saturday,1,2023,11763
2023-01-15,"Balears, Illes",Sunday,1,2023,12025
2023-01-15,"Palmas, Las",Sunday,1,2023,13127
2023-01-15,Santa Cruz de Tenerife,Sunday,1,2023,11087
2023-01-16,"Balears, Illes",Monday,1,2023,10194
2023-01-16,"Palmas, Las",Monday,1,2023,12439
2023-01-16,Santa Cruz de Tenerife,Monday,1,2023,11919
2023-01-17,"Balears, Illes",Tuesday,1,2023,10130
2023-01-17,"Palmas, Las",Tuesday,1,2023,10773
2023-01-17,Santa Cruz de Tenerife,Tuesday,1,2023,11545
2023-01-18,"Balears, Illes",Wednesday,1,2023,10188
2023-01-18,"Palmas, Las",Wednesday,1,2023,11815
2023-01-18,Santa Cruz de Tenerife,Wednesday,1,2023,10101
2023-01-19,"Balears, Illes",Thursday,1,2023,11175
2023-01-19,"Palmas, Las",Thursday,1,2023,15517
2023-01-19,Santa Cruz de Tenerife,Thursday,1,2023,13994
2023-01-20,"Balears, Illes",Friday,1,2023,13627
2023-01-20,"Palmas, Las",Friday,1,2023,18360
2023-01-20,Santa Cruz de Tenerife,Friday,1,2023,13801
2023-01-21,"Balears, Illes",Saturday,1,2023,11120
2023-01-21,"Palmas, Las",Saturday,1,2023,13354
2023-01-21,Santa Cruz de Tenerife,Saturday,1,2023,12090
2023-01-22,"Balears, Illes",Sunday,1,2023,13577
2023-01-22,"Palmas, Las",Sunday,1,2023,14350
2023-01-22,Santa Cruz de Tenerife,Sunday,1,2023,11353
2023-01-23,"Balears, Illes",Monday,1,2023,13886
2023-01-23,"Palmas, Las",Monday,1,2023,13679
2023-01-23,Santa Cruz de Tenerife,Monday,1,2023,11815
2023-01-24,"Balears, Illes",Tuesday,1,2023,11887
2023-01-24,"Palmas, Las",Tuesday,1,2023,11096
2023-01-24,Santa Cruz de Tenerife,Tuesday,1,2023,12412
2023-01-25,"Balears, Illes",Wednesday,1,2023,10718
2023-01-25,"Palmas, Las",Wednesday,1,2023,12622
2023-01-25,Santa Cruz de Tenerife,Wednesday,1,2023,11713
2023-01-26,"Balears, Illes",Thursday,1,2023,11433
2023-01-26,"Palmas, Las",Thursday,1,2023,14786
2023-01-26,Santa Cruz de Tenerife,Thursday,1,2023,12333
2023-01-27,"Balears, Illes",Friday,1,2023,13964
2023-01-27,"Palmas, Las",Friday,1,2023,16175
2023-01-27,Santa Cruz de Tenerife,Friday,1,2023,16502
2023-01-28,"Balears, Illes",Saturday,1,2023,12153
2023-01-28,"Palmas, Las",Saturday,1,2023,16424
2023-01-28,Santa Cruz de Tenerife,Saturday,1,2023,12440
2023-01-29,"Balears, Illes",Sunday,1,2023,13627
2023-01-29,"Palmas, Las",Sunday,1,2023,14263
2023-01-29,Santa Cruz de Tenerife,Sunday,1,2023,12660
2023-01-30,"Balears, Illes",Monday,1,2023,13388
2023-01-30,"Palmas, Las",Monday,1,2023,15203
